Date,asset,ann_signal,ann_proba
2025-06-04,Hyundai,1,0.9999949309370574
2025-06-04,KaKao,1,0.999999999875826
2025-06-04,Naver,1,0.9999999999991456
2025-06-04,SKHynix,1,0.9999724202097316
2025-06-04,Samsung,0,1.386973911715185e-06
2025-06-05,Hyundai,1,0.9999806810754778
2025-06-05,KaKao,1,0.9999999993452233
2025-06-05,Naver,1,0.9999999999867699
2025-06-05,SKHynix,1,0.9993822206114232
2025-06-05,Samsung,0,0.0012439857316124557
2025-06-09,Hyundai,1,0.999806686689153
2025-06-09,KaKao,1,0.9999999021637462
2025-06-09,Naver,1,0.9999999998478983
2025-06-09,SKHynix,1,0.953860103071328
2025-06-09,Samsung,0,0.00015495071211302734
2025-06-10,Hyundai,1,0.9996257747777232
2025-06-10,KaKao,1,0.9999987521583064
2025-06-10,Naver,1,0.9999999993056228
2025-06-10,SKHynix,1,0.7796683143496252
2025-06-10,Samsung,0,8.105822644281209e-07
2025-06-11,Hyundai,1,0.9993911762518202
2025-06-11,KaKao,1,0.9999897408371056
2025-06-11,Naver,1,0.9999999991143187
2025-06-11,SKHynix,1,0.8569223019053371
2025-06-11,Samsung,0,4.657025575283773e-08
2025-06-12,Hyundai,1,0.9995674549774302
2025-06-12,KaKao,1,0.9999650521918039
2025-06-12,Naver,1,0.9999999994776443
2025-06-12,SKHynix,1,0.9180475084220222
2025-06-12,Samsung,0,7.601317028133461e-10
2025-06-13,Hyundai,1,0.9991697442993718
2025-06-13,KaKao,1,0.9998979712876923
2025-06-13,Naver,1,0.9999999952861536
2025-06-13,SKHynix,1,0.9819533011832372
2025-06-13,Samsung,0,1.0954525721148092e-10
2025-06-16,Hyundai,1,0.9949509519255748
2025-06-16,KaKao,1,0.9992616713216782
2025-06-16,Naver,1,0.9999999707146956
2025-06-16,SKHynix,1,0.8439489485155515
2025-06-16,Samsung,0,2.009981722984558e-09
2025-06-17,Hyundai,1,0.9891172491220555
2025-06-17,KaKao,1,0.9996303170577399
2025-06-17,Naver,1,0.9999999562695906
2025-06-17,SKHynix,1,0.5954138431029368
2025-06-17,Samsung,0,9.84916332951488e-09
2025-06-18,Hyundai,1,0.9545492020777816
2025-06-18,KaKao,1,0.9741049537637232
2025-06-18,Naver,1,0.9998581149601992
2025-06-18,SKHynix,1,0.812555214720243
2025-06-18,Samsung,0,3.9628311770034025e-08
2025-06-19,Hyundai,0,0.21430384003338745
2025-06-19,KaKao,0,0.20013776844406556
2025-06-19,Naver,1,0.9968066633974225
2025-06-19,SKHynix,1,0.9339071979341582
2025-06-19,Samsung,0,7.412413609148578e-07
2025-06-20,Hyundai,0,0.01077933869413193
2025-06-20,KaKao,0,0.010126949987789303
2025-06-20,Naver,1,0.7510034566655713
2025-06-20,SKHynix,1,0.7976971365523264
2025-06-20,Samsung,0,4.1553288096583685e-05
2025-06-23,Hyundai,0,0.019119563473788032
2025-06-23,KaKao,0,0.001372638341508649
2025-06-23,Naver,0,0.02868946592697974
2025-06-23,SKHynix,0,0.30465823574422674
2025-06-23,Samsung,0,0.0007368074548654957
2025-06-24,Hyundai,0,0.008059779671548162
2025-06-24,KaKao,0,0.002947627751548473
2025-06-24,Naver,0,0.005929430803675506
2025-06-24,SKHynix,0,0.010783563501804184
2025-06-24,Samsung,0,0.0025394354231366343
2025-06-25,Hyundai,0,7.338128367718293e-05
2025-06-25,KaKao,0,0.007698173385241816
2025-06-25,Naver,0,0.002609734064673571
2025-06-25,SKHynix,0,0.005962616979748307
2025-06-25,Samsung,0,0.009194158988866854
2025-06-26,Hyundai,0,1.2859735960217044e-05
2025-06-26,KaKao,0,0.02011410381457315
2025-06-26,Naver,0,0.006206549459427373
2025-06-26,SKHynix,0,0.003684777487075765
2025-06-26,Samsung,0,0.04004323111955758
2025-06-27,Hyundai,0,2.6759307138073753e-06
2025-06-27,KaKao,0,0.12438988800783492
2025-06-27,Naver,0,0.012575057362098596
2025-06-27,SKHynix,0,0.006630116451089368
2025-06-27,Samsung,0,0.011725090746085815
2025-06-30,Hyundai,0,4.5304907922284896e-07
2025-06-30,KaKao,0,0.323370740736372
2025-06-30,Naver,0,0.04012617491601746
2025-06-30,SKHynix,0,0.017214518756994018
2025-06-30,Samsung,0,0.002818027553835906
2025-07-01,Hyundai,0,3.387812939584938e-07
2025-07-01,KaKao,1,0.6164208879932643
2025-07-01,Naver,0,0.15271008138843994
2025-07-01,SKHynix,0,0.020815231093420712
2025-07-01,Samsung,0,0.126776842352731
2025-07-02,Hyundai,0,1.9560147564467363e-07
2025-07-02,KaKao,0,0.39640335274668137
2025-07-02,Naver,0,0.3806852250389335
2025-07-02,SKHynix,0,0.04610285106226029
2025-07-02,Samsung,0,0.3121999301968133
2025-07-03,Hyundai,0,1.0883285986086977e-07
2025-07-03,KaKao,0,0.029787735418936968
2025-07-03,Naver,1,0.5750238678748356
2025-07-03,SKHynix,0,0.08160597547232218
2025-07-03,Samsung,0,0.037371518693243524
2025-07-04,Hyundai,0,4.000833036447538e-08
2025-07-04,KaKao,0,0.0016964354623221591
2025-07-04,Naver,0,0.29777002829945015
2025-07-04,SKHynix,0,0.1023531715294618
2025-07-04,Samsung,0,0.0582716206087651
2025-07-07,Hyundai,0,1.0120865702385953e-08
2025-07-07,KaKao,0,5.041481523765789e-05
2025-07-07,Naver,0,0.01700611744851131
2025-07-07,SKHynix,0,0.021745292364848314
2025-07-07,Samsung,0,0.07879859163764627
2025-07-08,Hyundai,0,5.523865327549163e-09
2025-07-08,KaKao,0,1.8585129309001952e-06
2025-07-08,Naver,0,0.00011206311793604312
2025-07-08,SKHynix,0,0.012269470660797309
2025-07-08,Samsung,0,0.13022275969155414
2025-07-09,Hyundai,0,2.6282756296996728e-09
2025-07-09,KaKao,0,7.107182961061297e-08
2025-07-09,Naver,0,3.921978232384191e-06
2025-07-09,SKHynix,0,0.004049428401346997
2025-07-09,Samsung,0,0.23138372926680126
2025-07-10,Hyundai,0,2.270719969076102e-09
2025-07-10,KaKao,0,1.9554284194975194e-08
2025-07-10,Naver,0,3.0649301485613724e-07
2025-07-10,SKHynix,0,0.00269109142594192
2025-07-10,Samsung,0,0.39149717174422916
2025-07-11,Hyundai,0,1.1022827065284666e-09
2025-07-11,KaKao,0,1.7636096688133028e-08
2025-07-11,Naver,0,3.591127325439713e-08
2025-07-11,SKHynix,0,0.0010525833649252729
2025-07-11,Samsung,1,0.61287293317137
2025-07-14,Hyundai,0,7.084651004984193e-10
2025-07-14,KaKao,0,2.980296006736282e-08
2025-07-14,Naver,0,4.617500474514728e-09
2025-07-14,SKHynix,0,9.852835813380668e-05
2025-07-14,Samsung,1,0.6831051205154478
2025-07-15,Hyundai,0,5.218450942578855e-10
2025-07-15,KaKao,0,7.311333881563387e-08
2025-07-15,Naver,0,4.692640255287714e-10
2025-07-15,SKHynix,0,1.1790361656261061e-05
2025-07-15,Samsung,1,0.6445927061351727
2025-07-16,Hyundai,0,3.281249612954197e-10
2025-07-16,KaKao,0,1.608008814794583e-07
2025-07-16,Naver,0,4.617202339537321e-11
2025-07-16,SKHynix,0,8.071586225264726e-07
2025-07-16,Samsung,1,0.6563476209007292
2025-07-17,Hyundai,0,3.418408162006123e-10
2025-07-17,KaKao,0,4.127651140650705e-07
2025-07-17,Naver,0,6.5757993197285346e-12
2025-07-17,SKHynix,0,9.255674294848153e-06
2025-07-17,Samsung,1,0.61990395223095
2025-07-18,Hyundai,0,4.533407876432286e-10
2025-07-18,KaKao,0,1.2328524858952128e-06
2025-07-18,Naver,0,1.5502395559450523e-12
2025-07-18,SKHynix,0,6.962114041960023e-06
2025-07-18,Samsung,1,0.6352198900291505
2025-07-21,Hyundai,0,4.626850173506429e-10
2025-07-21,KaKao,0,3.4226247044435995e-06
2025-07-21,Naver,0,4.371547384744812e-13
2025-07-21,SKHynix,0,3.1069696895379605e-06
2025-07-21,Samsung,1,0.5661008180244352
2025-07-22,Hyundai,0,5.903002953338059e-10
2025-07-22,KaKao,0,1.1283449785622012e-05
2025-07-22,Naver,0,1.7916552586430277e-13
2025-07-22,SKHynix,0,1.1312507174645077e-06
2025-07-22,Samsung,1,0.7124913158800212
2025-07-23,Hyundai,0,6.854112390808398e-10
2025-07-23,KaKao,0,6.161724062119473e-05
2025-07-23,Naver,0,6.677645323150817e-14
2025-07-23,SKHynix,0,8.403012279218257e-07
2025-07-23,Samsung,1,0.6718446073578334
2025-07-24,Hyundai,0,4.917145491753783e-10
2025-07-24,KaKao,0,0.0003211316758679853
2025-07-24,Naver,0,3.544422442077639e-14
2025-07-24,SKHynix,0,1.174359591235072e-07
2025-07-24,Samsung,1,0.5885228124704162
2025-07-25,Hyundai,0,3.928006573845152e-10
2025-07-25,KaKao,0,0.0005432334527782716
2025-07-25,Naver,0,2.018556143079549e-14
2025-07-25,SKHynix,0,1.0024773194094165e-07
2025-07-25,Samsung,1,0.5585869375691551
2025-07-28,Hyundai,0,3.4232720721333013e-10
2025-07-28,KaKao,0,0.001828788474234158
2025-07-28,Naver,0,1.085111299102576e-14
2025-07-28,SKHynix,0,5.544493761087087e-08
2025-07-28,Samsung,0,0.25798876113008723
2025-07-29,Hyundai,0,2.778992471431969e-10
2025-07-29,KaKao,0,0.006668120084455728
2025-07-29,Naver,0,4.2283516766484265e-15
2025-07-29,SKHynix,0,3.0814953368585e-08
2025-07-29,Samsung,0,0.0890155007883865
2025-07-30,Hyundai,0,1.6695021707445307e-10
2025-07-30,KaKao,0,0.01397368701636061
2025-07-30,Naver,0,1.4739080850243293e-15
2025-07-30,SKHynix,0,1.116379759909196e-08
2025-07-30,Samsung,0,0.008837747203503115
2025-07-31,Hyundai,0,1.5662140827035182e-10
2025-07-31,KaKao,0,0.01375976627923437
2025-07-31,Naver,0,6.130879053186917e-16
2025-07-31,SKHynix,0,1.1390746984716567e-08
2025-07-31,Samsung,0,0.0014560216383168127
2025-08-01,Hyundai,0,1.2029984537814158e-10
2025-08-01,KaKao,0,0.03654704905974173
2025-08-01,Naver,0,1.3914533793196241e-16
2025-08-01,SKHynix,0,3.112451840283793e-08
2025-08-01,Samsung,0,0.0028625361565072912
2025-08-04,Hyundai,0,1.0296847973674003e-10
2025-08-04,KaKao,0,0.021753601977082728
2025-08-04,Naver,0,1.045521232230505e-16
2025-08-04,SKHynix,0,1.8794631826672094e-08
2025-08-04,Samsung,0,0.0005606872279342425
2025-08-05,Hyundai,0,9.767238622614104e-11
2025-08-05,KaKao,0,0.02170731098738146
2025-08-05,Naver,0,5.929645816849767e-17
2025-08-05,SKHynix,0,1.1064176235030913e-08
2025-08-05,Samsung,0,0.00021014559655516338
2025-08-06,Hyundai,0,8.772149757077012e-11
2025-08-06,KaKao,0,0.01750490996823649
2025-08-06,Naver,0,2.697597599850075e-17
2025-08-06,SKHynix,0,1.2410312034771015e-08
2025-08-06,Samsung,0,0.0003184435190770082
2025-08-07,Hyundai,0,8.548862982201155e-11
2025-08-07,KaKao,0,0.001229175037675229
2025-08-07,Naver,0,2.3482145472925114e-17
2025-08-07,SKHynix,0,1.1814537934948899e-08
2025-08-07,Samsung,0,6.718247529712003e-05
2025-08-08,Hyundai,0,6.585844591005915e-11
2025-08-08,KaKao,0,0.0002454593048770544
2025-08-08,Naver,0,1.358360940871577e-17
2025-08-08,SKHynix,0,2.380422015140152e-08
2025-08-08,Samsung,0,2.0588999348377305e-05
2025-08-11,Hyundai,0,5.267349578763219e-11
2025-08-11,KaKao,0,3.8110025417131344e-05
2025-08-11,Naver,0,9.931501834373624e-18
2025-08-11,SKHynix,0,1.6175226740475597e-08
2025-08-11,Samsung,0,9.074689038826792e-06
2025-08-12,Hyundai,0,4.162801471439016e-11
2025-08-12,KaKao,0,9.751710822230805e-06
2025-08-12,Naver,0,1.2057099562692938e-17
2025-08-12,SKHynix,0,2.5778147569320822e-08
2025-08-12,Samsung,0,4.278460430815312e-06
2025-08-13,Hyundai,0,2.7649177319034996e-11
2025-08-13,KaKao,0,2.0762220058262173e-06
2025-08-13,Naver,0,1.7665489316322958e-17
2025-08-13,SKHynix,0,2.6870764189032972e-08
2025-08-13,Samsung,0,1.647409875448143e-06
2025-08-14,Hyundai,0,1.9949476061111187e-11
2025-08-14,KaKao,0,6.215089085051887e-07
2025-08-14,Naver,0,2.017556451676178e-17
2025-08-14,SKHynix,0,5.573117931819638e-08
2025-08-14,Samsung,0,1.2378187249679384e-06
2025-08-18,Hyundai,0,1.5127852617191138e-11
2025-08-18,KaKao,0,5.206380802976062e-07
2025-08-18,Naver,0,2.778510210731762e-17
2025-08-18,SKHynix,0,2.2899201804145655e-07
2025-08-18,Samsung,0,1.5591624024840213e-06
2025-08-19,Hyundai,0,7.607503024651176e-12
2025-08-19,KaKao,0,2.4033388287946614e-07
2025-08-19,Naver,0,3.253396037288331e-17
2025-08-19,SKHynix,0,8.919301255130408e-07
2025-08-19,Samsung,0,1.3268527955159673e-06
2025-08-20,Hyundai,0,4.139746820394453e-12
2025-08-20,KaKao,0,1.1638134443981981e-07
2025-08-20,Naver,0,3.4937782219966636e-17
2025-08-20,SKHynix,0,1.0092826892784284e-05
2025-08-20,Samsung,0,1.3502521033204878e-06
2025-08-21,Hyundai,0,2.82644870217763e-12
2025-08-21,KaKao,0,1.1611532694112292e-07
2025-08-21,Naver,0,4.113963175405097e-17
2025-08-21,SKHynix,0,0.0002512276761692204
2025-08-21,Samsung,0,2.2248492702967555e-06
