Strength,VIX,Outcome_Success
20.0,0.10605030548242647,1
20.0,0.08905505166846517,0
20.0,0.09286199495409703,1
13.664439934796787,0.08470427416070278,1
20.0,0.08008156657553533,0
20.0,0.07518694187930264,0
20.0,0.08851120447999483,1
20.0,0.07532290691800514,1
20.0,0.059143430369919175,0
20.0,0.05560841716169235,0
20.0,0.05248129906957308,1
20.0,0.04826647363417344,1
20.0,0.04636301495769726,1
20.0,0.06063901986296735,0
20.0,0.05819170103168106,0
20.0,0.04459550835358381,1
19.76370772957904,0.0387491413527733,0
20.0,0.04092453010665448,1
20.0,0.0369816347486599,1
20.0,0.042828001749470435,0
20.0,0.04935418097745378,1
11.743402259554237,0.03793337705323771,0
20.0,0.03793337705323771,0
20.0,0.05139360469263243,1
20.0,0.06988442206696241,1
20.0,0.07246770593695115,1
20.0,0.05139360469263243,0
20.0,0.05397687559628145,1
20.0,0.05465668782345426,0
20.0,0.04745070933463785,0
20.0,0.041876272411232346,1
20.0,0.04894628586134625,0
20.0,0.0504418753543944,0
20.0,0.03942895357994611,0
20.0,0.03806932912560049,0
20.0,0.04785859148440563,1
20.0,0.04908225090004875,0
20.0,0.042963966788172936,0
20.0,0.042963966788172936,0
20.0,0.05628822938886516,1
20.0,0.05520053501192457,1
20.0,0.056968041616037995,0
20.0,0.05030591031569187,0
20.0,0.04636301495769726,1
20.0,0.042148189522297624,0
20.0,0.04486742546464911,0
20.0,0.041876272411232346,1
20.0,0.039292988541243606,0
20.0,0.040108765807118946,0
20.0,0.040108765807118946,0
20.0,0.04541127265311942,1
20.0,0.043915696126411025,0
20.0,0.045819167769226954,1
20.0,0.0504418753543944,0
20.0,0.05139360469263243,1
20.0,0.045139355542054144,0
20.0,0.05411284063498398,0
20.0,0.05506456997322204,1
20.0,0.0726036580093139,1
20.0,0.09231814776562669,1
20.0,0.10033990352031846,1
20.0,0.07845002501012444,0
20.0,0.07586675410647548,1
20.0,0.12100612261486937,1
20.0,0.12671649864429788,0
20.0,0.09857238394986528,0
20.0,0.10142759789725905,1
20.0,0.11624744999099942,0
20.0,0.09816451476643726,0
20.0,0.12848401821475106,1
9.779327863791215,0.19374573269654607,0
20.0,0.400135941699291,1
20.0,0.2524812809166974,1
20.0,0.2543847655258531,0
20.0,0.1991842305139285,1
20.0,0.15268525051752876,1
20.0,0.15730793217001668,1
20.0,0.12209381699180996,1
20.0,0.09585316097385355,1
20.0,0.07695444848341607,1
20.0,0.07491501180189761,1
20.0,0.09163833553845391,1
20.0,0.09694085535079414,0
20.0,0.11434396538184374,0
20.0,0.09136640546104888,1
20.0,0.09530930081904349,0
20.0,0.08552005142657806,1
20.0,0.10836165927501021,0
20.0,0.08851120447999483,1
20.0,0.07967368442576755,1
1.1668749304681656,0.07967368442576755,0
20.0,0.15744389720871912,1
20.0,0.16560161800211345,0
20.0,0.14629502336190828,0
20.0,0.18001357497974627,0
20.0,0.14017675221637213,0
20.0,0.1351461495150971,0
20.0,0.11624744999099942,1
20.0,0.10781779912020015,0
20.0,0.10088373774244899,0
20.0,0.09775661965032972,1
20.0,0.09530930081904349,1
20.0,0.09177430057715641,1
7.240805587264368,0.08497620423810781,0
20.0,0.08524812134917306,1
20.0,0.08470427416070278,1
20.0,0.106322209627152,1
20.0,0.1031950915350327,0
20.0,0.13269883068381103,1
20.0,0.13691364315287083,1
20.0,0.18354858818797312,1
9.294342097850791,0.16696124245645907,1
20.0,0.16029911115611298,0
20.0,0.15390888400049238,0
20.0,0.14357580038589643,0
17.15392366206484,0.15635620283177862,1
20.0,0.1419442458541457,1
20.0,0.13555404463120466,1
20.0,0.12087015757616684,1
20.0,0.12549286516133426,0
20.0,0.12318151136875055,1
4.626662361905531,0.13732153826897833,1
20.0,0.1351461495150971,1
20.0,0.15214139036271865,1
20.0,0.14493539890756255,0
20.0,0.13868116272332395,0
20.0,0.1524133204401237,0
20.0,0.19061861460442672,0
7.485470253233874,0.1732154786406976,1
20.0,0.17457510309504323,1
15.845869659964091,0.15431677911659988,0
20.0,0.09694085535079414,0
16.80108763737057,0.08239292036811907,1
19.282506544756902,0.07885790715989224,0
20.0,0.07926580227599977,0
20.0,0.07573078906777295,0
20.0,0.06634942182507533,0
20.0,0.07029231718306994,1
20.0,0.09517333578034098,1
20.0,0.0875594751417568,0
20.0,0.09802854972773475,1
20.0,0.10904145853584324,1
20.0,0.10509857614418841,1
20.0,0.08293676755658935,1
20.0,0.07423521254106458,0
20.0,0.06743711620201598,0
20.0,0.06743711620201598,0
20.0,0.06743711620201598,0
20.0,0.059415360447324206,0
20.0,0.0571040066547405,1
20.0,0.05656015946627019,0
20.0,0.05859958318144887,0
20.0,0.059823242597091986,0
20.0,0.04935418097745378,0
20.0,0.06866076265131929,1
20.0,0.06852481057895651,1
20.0,0.06036708978556232,1
20.0,0.06498979737072968,1
20.0,0.06349422084402134,0
20.0,0.07545885899036792,0
20.0,0.0915023704997514,1
20.0,0.2512576474337338,0
20.0,0.2032630779442859,0
20.0,0.1253569001226317,1
20.0,0.10387491672854529,1
20.0,0.06974846999459966,0
20.0,0.07600270617883823,0
20.0,0.092590064876692,0
20.0,0.11230454166666504,0
20.0,0.11951053312182122,1
20.0,0.09503737074163845,0
20.0,0.09381373725867487,0
20.0,0.11801494362877307,1
20.0,0.11638341502970193,0
20.0,0.11638341502970193,1
20.0,0.14140041163201525,1
16.65515511139308,0.13664173900814527,1
20.0,0.13011554681382217,0
20.0,0.09490143163561546,1
20.0,0.10142759789725905,1
20.0,0.09286199495409703,1
20.0,0.09286199495409703,0
20.0,0.0804894616916429,1
20.0,0.0810333088801132,1
17.419676938342178,0.07994561450317259,1
20.0,0.0776342607105889,1
20.0,0.09911624410467534,1
0.08235344648653356,0.12889191333085856,1
20.0,0.1097212577966763,0
20.0,0.09014275901174551,0
20.0,0.08647178076481618,1
20.0,0.1006118335977235,0
20.0,0.09068660620021582,0
20.0,0.09354180718126984,0
20.0,0.09177430057715641,0
20.0,0.0810333088801132,0
20.0,0.07654656633364829,0
20.0,0.07654656633364829,0
20.0,0.08443235704963753,0
20.0,0.08334466267269691,1
20.0,0.08864716951869739,1
20.0,0.12331745047477355,1
20.0,0.13378652506075153,1
20.0,0.13990482213896707,0
20.0,0.13541807959250216,1
20.0,0.16301833413212471,1
20.0,0.1426240451149788,1
20.0,0.1953772872282967,0
20.0,0.17389530383421023,0
20.0,0.21386811756896637,1
20.0,0.19347382855182052,0
20.0,0.2545207305645556,1
20.0,0.24174030218599393,0
20.0,0.2051665366207621,0
20.0,0.21101290362157263,1
20.0,0.171719915080329,0
20.0,0.154588709194005,1
20.0,0.17076818574209093,0
20.0,0.14629502336190828,0
20.0,0.14493539890756255,0
20.0,0.1378653984237884,1
20.0,0.11339223604360565,1
20.0,0.10890549349714074,0
20.0,0.12494900500652417,1
20.0,0.12984364266909668,1
20.0,0.17008836054857843,1
20.0,0.17865397645808015,0
20.0,0.171719915080329,1
20.0,0.16818490187210225,1
20.0,0.28388850467463134,1
20.0,0.49177430317042437,1
20.0,0.5144799200474744,0
20.0,0.5872195819945102,1
18.938318409810893,0.33283477756963775,1
20.0,0.4293677767033437,1
20.0,0.38640380991517076,0
20.0,0.29571717778227546,0
20.0,0.2852481291289769,1
20.0,0.31951051496894556,0
20.0,0.27885790197335647,0
20.0,0.27885790197335647,0
20.0,0.335554026478329,1
20.0,0.291366400274513,0
20.0,0.26254248631924737,1
20.0,0.23562200510777828,0
20.0,0.2134602224528588,0
20.0,0.21767503492191878,0
20.0,0.20435077232122648,1
20.0,0.21155676377638263,0
20.0,0.18409244834278313,0
20.0,0.1959211214504272,0
20.0,0.1813731994340919,0
20.0,0.17348740871810278,0
20.0,0.12576476930605981,0
20.0,0.12345341551347602,0
20.0,0.12889191333085856,1
20.0,0.11815090866747557,0
20.0,0.11012915291278386,1
20.0,0.12236572113653552,0
20.0,0.1216859218757024,0
20.0,0.15948334685657736,1
20.0,0.15146159110188565,0
20.0,0.17878994149678265,0
20.0,0.17878994149678265,1
20.0,0.13351459498334647,0
20.0,0.13827326760721645,0
20.0,0.13650577396944277,1
20.0,0.128212088137346,0
20.0,0.1253569001226317,0
20.0,0.1151597556140588,0
20.0,0.12698842872170288,0
20.0,0.10904145853584324,0
20.0,0.106186270521129,0
20.0,0.11040108299018889,0
20.0,0.12073419253746434,1
20.0,0.1588035216630648,0
20.0,0.13555404463120466,0
20.0,0.1694085612877453,0
20.0,0.14955810649273002,0
20.0,0.14955810649273002,0
20.0,0.15608429868705306,1
20.0,0.14534329402367005,0
20.0,0.11339223604360565,0
20.0,0.10360298665114026,1
20.0,0.10129163285855655,1
20.0,0.0976206546116272,0
20.0,0.1031950915350327,0
20.0,0.10455471598937835,1
20.0,0.10197143211938961,0
20.0,0.09843641891116278,1
20.0,0.09843641891116278,0
20.0,0.11760707444534504,0
20.0,0.10428278591197332,0
20.0,0.09245409983798947,0
20.0,0.09027871108410829,1
20.0,0.09870834898856781,0
20.0,0.1095853186906533,0
20.0,0.11203261158926003,1
20.0,0.10904145853584324,0
20.0,0.10033990352031846,1
20.0,0.09884431402727031,0
20.0,0.10210739715809211,1
20.0,0.10006797344291343,0
20.0,0.08470427416070278,1
20.0,0.08497620423810781,0
20.0,0.07872195508752944,0
20.0,0.08008156657553533,0
20.0,0.09299794702645978,0
20.0,0.08619985068741115,1
20.0,0.1030591264963302,1
20.0,0.15282118962355176,0
20.0,0.11393609619841572,0
20.0,0.1184228387448806,1
20.0,0.10373895168984276,0
20.0,0.10101970278115152,1
20.0,0.08171310814094623,1
20.0,0.0966689252733891,1
20.0,0.07600270617883823,0
20.0,0.07273962304801643,1
20.0,0.07736233063318387,1
20.0,0.07953771938706505,0
20.0,0.0874235101030543,1
20.0,0.08905505166846517,1
20.0,0.10142759789725905,0
20.0,0.06906865776742685,0
20.0,0.07681848344471354,1
11.935891531707185,0.07450712965212983,1
9.345525947150641,0.0776342607105889,1
20.0,0.07192385874848084,1
20.0,0.08456830912200025,1
20.0,0.08456830912200025,0
10.835273631447322,0.10917742357454577,1
20.0,0.09802854972773475,0
20.0,0.08375254482246469,0
20.0,0.08212100325705377,0
20.0,0.08116926095247595,0
20.0,0.08021753161423786,0
20.0,0.08443235704963753,0
20.0,0.07573078906777295,0
20.0,0.07641060129494576,0
20.0,0.08905505166846517,0
20.0,0.09816451476643726,1
20.0,0.0894629467845727,0
20.0,0.08919101670716767,1
20.0,0.08579196853764337,0
20.0,0.09462950155821043,0
20.0,0.10197143211938961,1
20.0,0.09571719593515104,0
20.0,0.10333105657373523,1
20.0,0.08361657978376216,0
20.0,0.09490143163561546,1
20.0,0.09707682038949667,0
20.0,0.09721278542819917,0
20.0,0.10183546708068708,0
20.0,0.17022432558728087,1
20.0,0.1344663502542641,1
20.0,0.1586675566243623,0
20.0,0.15635620283177862,0
20.0,0.2198504236757999,0
20.0,0.1582596874409343,0
20.0,0.12358938055217858,1
20.0,0.11869476882228563,0
20.0,0.12861998325345356,1
20.0,0.11094491721231942,0
20.0,0.09830047980513978,0
20.0,0.09041467612281079,1
20.0,0.09898027906597284,0
20.0,0.10577837540502144,0
